Designator,Mid X,Mid Y,Layer,Rotation
U1,74.44,-29.91,T,180.00
U1,74.44,-45.91,T,180.00
U1,74.44,-37.91,T,180.00
U1,74.44,-53.91,T,180.00
U1,74.44,-33.91,T,180.00
U1,74.44,-17.91,T,180.00
U1,74.44,-25.91,T,180.00
U1,74.44,-41.91,T,180.00
U1,74.44,-49.91,T,180.00
U1,74.44,-21.91,T,180.00
U2,78.56,-45.91,T,180.00
U2,78.56,-37.91,T,180.00
U2,78.56,-21.91,T,180.00
U2,78.56,-29.91,T,180.00
U2,78.56,-53.91,T,180.00
U2,78.56,-49.91,T,180.00
U2,78.56,-17.91,T,180.00
U2,78.56,-25.91,T,180.00
U2,78.56,-41.91,T,180.00
U2,78.56,-33.91,T,180.00
U3,82.67,-53.91,T,180.00
U3,82.67,-37.91,T,180.00
U3,82.67,-33.91,T,180.00
U3,82.67,-45.91,T,180.00
U3,82.67,-17.91,T,180.00
U3,82.67,-21.91,T,180.00
U3,82.67,-41.91,T,180.00
U3,82.67,-49.91,T,180.00
U3,82.67,-29.91,T,180.00
U3,82.67,-25.91,T,180.00
U4,86.78,-53.91,T,180.00
U4,86.78,-21.91,T,180.00
U4,86.78,-45.91,T,180.00
U4,86.78,-17.91,T,180.00
U4,86.78,-29.91,T,180.00
U4,86.78,-37.91,T,180.00
U4,86.78,-49.91,T,180.00
U4,86.78,-33.91,T,180.00
U4,86.78,-41.91,T,180.00
U4,86.78,-25.91,T,180.00
U5,90.90,-33.91,T,180.00
U5,90.90,-21.91,T,180.00
U5,90.90,-53.91,T,180.00
U5,90.90,-41.91,T,180.00
U5,90.90,-37.91,T,180.00
U5,90.90,-49.91,T,180.00
U5,90.90,-25.91,T,180.00
U5,90.90,-17.91,T,180.00
U5,90.90,-45.91,T,180.00
U5,90.90,-29.91,T,180.00
U6,95.01,-53.91,T,180.00
U6,95.01,-41.91,T,180.00
U6,95.01,-25.91,T,180.00
U6,95.01,-45.91,T,180.00
U6,95.01,-29.91,T,180.00
U6,95.01,-33.91,T,180.00
U6,95.01,-21.91,T,180.00
U6,95.01,-17.91,T,180.00
U6,95.01,-37.91,T,180.00
U6,95.01,-49.91,T,180.00
U7,99.12,-49.91,T,180.00
U7,99.12,-53.91,T,180.00
U7,99.12,-37.91,T,180.00
U7,99.12,-17.91,T,180.00
U7,99.12,-25.91,T,180.00
U7,99.12,-45.91,T,180.00
U7,99.12,-21.91,T,180.00
U7,99.12,-41.91,T,180.00
U7,99.12,-33.91,T,180.00
U7,99.12,-29.91,T,180.00
U8,103.24,-21.91,T,180.00
U8,103.24,-37.91,T,180.00
U8,103.24,-29.91,T,180.00
U8,103.24,-33.91,T,180.00
U8,103.24,-45.91,T,180.00
U8,103.24,-49.91,T,180.00
U8,103.24,-25.91,T,180.00
U8,103.24,-41.91,T,180.00
U8,103.24,-53.91,T,180.00
U8,103.24,-17.91,T,180.00
U9,107.35,-41.91,T,180.00
U9,107.35,-17.91,T,180.00
U9,107.35,-25.91,T,180.00
U9,107.35,-21.91,T,180.00
U9,107.35,-49.91,T,180.00
U9,107.35,-53.91,T,180.00
U9,107.35,-37.91,T,180.00
U9,107.35,-29.91,T,180.00
U9,107.35,-45.91,T,180.00
U9,107.35,-33.91,T,180.00
